37, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
36, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, Taiwan, <=50K
36, Private, Some-college, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
36, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Ireland, >50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, South, >50K
36, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Peru, <=50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Poland, <=50K
44, Self-emp-not-inc, Preschool, Married-civ-spouse, Adm-clerical, Wife, Black, Male,15024,0,48, Italy, >50K
37, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Mexico, <=50K
46, State-gov, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,49723,0,55, England, >50K
36, Self-emp-not-inc, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, >50K
45, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Female,742,0,40, Jamaica, >50K
37, Private, Some-college, Never-married, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
36, Private, Assoc-acdm, Never-married, Tech-support, Own-child, Black, Male,0,0,40, Cambodia, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Germany, <=50K
36, Private, 9th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Thailand, <=50K
36, Private, Bachelors, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Thailand, <=50K
37, Private, HS-grad, Separated, Other-service, Husband, White, Female,0,0,40, El-Salvador, <=50K
36, Local-gov, 11th, Never-married, Transport-moving, Husband, White, Male,0,0,40, South, <=50K
36, Private, 9th, Never-married, Transport-moving, Husband, White, Male,0,0,40, Cuba, <=50K
37, Self-emp-not-inc, HS-grad, Widowed, Sales, Unmarried, Black, Male,0,0,40, Hungary, <=50K
36, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
36, Private, Some-college, Widowed, Sales, Husband, White, Male,0,0,40, India, <=50K
37, Private, Masters, Never-married, Prof-specialty, Husband, White, Female,0,0,40, Cuba, >50K
36, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
36, Federal-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, <=50K
36, Private, 11th, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,40, Iran, <=50K
36, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Taiwan, >50K
36, Private, Some-college, Widowed, Craft-repair, Husband, White, Male,0,0,40, Laos, >50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,0,0,40, China, <=50K
36, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, India, <=50K
36, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Haiti, >50K
36, Private, Bachelors, Divorced, Handlers-cleaners, Wife, White, Male,0,0,40, Columbia, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, Germany, <=50K
44, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,3103,0,40, Canada, >50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
37, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
36, Private, Bachelors, Married-civ-spouse, Transport-moving, Own-child, Other, Female,0,0,40, Portugal, <=50K
36, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
36, Private, 7th-8th, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Columbia, <=50K
36, Self-emp-not-inc, Some-college, Never-married, Tech-support, Wife, White, Female,0,0,40, China, >50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,40, Japan, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, England, <=50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
36, Private, HS-grad, Never-married, Prof-specialty, Husband, Black, Female,0,0,40, Poland, <=50K
37, Private, 9th, Married-civ-spouse, Priv-house-serv, Husband, White, Female,0,0,40, Peru, >50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Puerto-Rico, >50K
36, Private, 1st-4th, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, England, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Philippines, <=50K
37, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Laos, <=50K
36, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Honduras, <=50K
36, State-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, Columbia, <=50K
36, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, Haiti, <=50K
44, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,40, Philippines, <=50K
36, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, >50K
37, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K
36, Private, Prof-school, Never-married, Transport-moving, Husband, White, Female,0,0,40, Peru, <=50K
36, Private, HS-grad, Separated, Prof-specialty, Own-child, White, Female,0,0,40, Ecuador, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
36, Private, Masters, Divorced, Other-service, Unmarried, White, Female,0,0,40, Hungary, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Female,0,0,40, Cuba, <=50K
36, Private, 5th-6th, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
36, Local-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Scotland, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Portugal, >50K
36, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Jamaica, <=50K
37, Private, Some-college, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,40, Mexico, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Laos, <=50K
36, State-gov, Some-college, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
36, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
36, Local-gov, Some-college, Divorced, Craft-repair, Husband, Black, Female,0,0,40, El-Salvador, >50K
36, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, Germany, >50K
36, Private, 9th, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Haiti, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,40, Japan, <=50K
36, Self-emp-not-inc, Assoc-acdm, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Columbia, <=50K
36, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,40, Japan, <=50K
36, Private, 7th-8th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, >50K
43, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,4650,0,40, Laos, >50K
36, Self-emp-not-inc, Doctorate, Separated, Exec-managerial, Own-child, White, Male,0,0,40, El-Salvador, <=50K
37, Federal-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, Japan, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
43, Self-emp-inc, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
36, Private, Assoc-voc, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Haiti, >50K
43, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,644,0,40, India, <=50K
37, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,40, South, <=50K
36, State-gov, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, Scotland, <=50K
36, Private, Assoc-acdm, Separated, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, <=50K
36, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, Portugal, >50K
36, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, India, <=50K
36, Private, Bachelors, Divorced, Other-service, Own-child, Black, Male,0,0,40, France, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Peru, >50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Female,0,0,40, Germany, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, Mexico, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
36, Local-gov, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, El-Salvador, <=50K
36, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Japan, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Guatemala, >50K
36, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,40, Greece, <=50K
36, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Philippines, <=50K
36, Private, Some-college, Never-married, Other-service, Husband, White, Female,0,0,40, Guatemala, <=50K
36, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, Cambodia, <=50K
36, Private, 10th, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
36, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,40, Cambodia, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, South, >50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, France, <=50K
36, Private, Some-college, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, South, <=50K
37, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, Puerto-Rico, <=50K
36, Private, Doctorate, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, China, <=50K
36, Private, Some-college, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, El-Salvador, >50K
36, Private, Assoc-voc, Divorced, Exec-managerial, Husband, Black, Male,0,0,40, Thailand, >50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Thailand, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Scotland, >50K
36, Private, Bachelors, Married-spouse-absent, Prof-specialty, Own-child, White, Female,0,0,40, Hong, <=50K
36, Private, Prof-school, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, China, >50K
36, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Germany, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Thailand, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Canada, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Germany, <=50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,40, England, <=50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, El-Salvador, <=50K
36, Private, Doctorate, Never-married, Sales, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
36, State-gov, Some-college, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
36, State-gov, HS-grad, Widowed, Other-service, Wife, White, Male,0,0,40, Italy, >50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,5178,0,40, United-States, >50K
36, Private, HS-grad, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, India, <=50K
36, Private, 5th-6th, Divorced, Other-service, Husband, White, Male,0,0,40, Thailand, <=50K
36, Self-emp-inc, HS-grad, Never-married, Machine-op-inspct, Other-relative, Other, Male,0,0,40, Poland, <=50K
44, Private, HS-grad, Widowed, Transport-moving, Wife, White, Male,3121,0,40, Peru, >50K
37, Private, Bachelors, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Hungary, <=50K
36, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Columbia, <=50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Japan, <=50K
36, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,40, Japan, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, England, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,40, Peru, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Dominican-Republic, >50K
43, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Scotland, >50K
36, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, India, <=50K
36, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Canada, <=50K
36, State-gov, 10th, Never-married, Exec-managerial, Husband, White, Male,0,0,40, India, <=50K
36, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,40, France, >50K
36, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, Mexico, >50K
36, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Poland, >50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Greece, >50K
36, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
36, Private, 7th-8th, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, Nicaragua, >50K
36, Federal-gov, HS-grad, Divorced, Transport-moving, Husband, White, Female,0,0,40, Cambodia, >50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, England, <=50K
36, Private, HS-grad, Separated, Tech-support, Own-child, White, Female,0,0,40, Peru, <=50K
36, Private, Some-college, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, Scotland, <=50K
36, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Honduras, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, Ecuador, <=50K
36, Private, 12th, Never-married, Prof-specialty, Husband, White, Female,0,0,40, Puerto-Rico, <=50K
36, Private, Some-college, Never-married, Craft-repair, Husband, White, Female,0,0,40, France, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Germany, <=50K
36, Private, Assoc-acdm, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Laos, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Mexico, <=50K
36, Private, Some-college, Widowed, Other-service, Not-in-family, White, Male,0,0,40, Cambodia, <=50K
