39, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,30, Dominican-Republic, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,50, Ireland, <=50K
29, Private, Bachelors, Separated, Adm-clerical, Own-child, Black, Male,0,0,40, Canada, <=50K
29, Private, 10th, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Male,0,0,60, Portugal, <=50K
64, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Poland, >50K
30, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,48, Columbia, <=50K
29, Private, Prof-school, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,1887,40, Poland, <=50K
52, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,41, South, <=50K
35, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, Vietnam, >50K
26, Private, HS-grad, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,40, El-Salvador, >50K
54, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,45, India, >50K
52, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, India, <=50K
39, Private, 9th, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
41, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Other, Female,0,0,40, Cambodia, <=50K
57, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Other, Female,0,0,10, Hong, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
52, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Own-child, Other, Female,0,0,35, Holand-Netherlands, <=50K
61, Federal-gov, 7th-8th, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Hungary, <=50K
39, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, Taiwan, >50K
29, Private, Some-college, Divorced, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,7687,0,40, Dominican-Republic, >50K
31, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Ireland, >50K
24, Private, HS-grad, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, South, <=50K
42, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Other, Male,0,0,12, Peru, <=50K
42, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,30, Poland, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
80, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,8689,0,45, Mexico, >50K
44, Private, Some-college, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,40, Mexico, <=50K
27, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Male,0,0,37, England, <=50K
46, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,35, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,54, Vietnam, >50K
41, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, >50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,7298,0,54, Holand-Netherlands, <=50K
30, Private, Assoc-voc, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,45, Cambodia, <=50K
44, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,70, Greece, <=50K
43, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Trinadad&Tobago, <=50K
47, Private, Bachelors, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,38, Yugoslavia, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Thailand, <=50K
25, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,40, England, <=50K
50, Local-gov, 1st-4th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,37, South, >50K
31, Private, Assoc-voc, Never-married, Transport-moving, Husband, Black, Female,0,0,43, Cuba, <=50K
21, Private, Masters, Separated, Sales, Wife, Amer-Indian-Eskimo, Male,2948,0,40, Hungary, >50K
20, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,40, Ecuador, <=50K
27, Private, Some-college, Widowed, Sales, Husband, Black, Male,0,0,40, Hungary, <=50K
41, Private, Masters, Never-married, Prof-specialty, Husband, Black, Female,0,0,40, Cuba, >50K
39, Private, Masters, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Black, Male,0,0,11, Italy, <=50K
33, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,40, Iran, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Taiwan, <=50K
19, Private, Some-college, Separated, Adm-clerical, Own-child, Other, Male,0,0,15, Laos, <=50K
65, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,40, China, <=50K
34, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,50, Hungary, <=50K
39, Self-emp-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Holand-Netherlands, >50K
29, Private, Bachelors, Divorced, Handlers-cleaners, Wife, Other, Female,0,0,45, Columbia, <=50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Other, Male,0,0,20, Germany, <=50K
23, Private, Bachelors, Never-married, Transport-moving, Other-relative, Asian-Pac-Islander, Female,0,0,38, Canada, <=50K
32, Private, Some-college, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1902,60, Ecuador, >50K
47, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Dominican-Republic, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
53, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Other, Female,0,0,40, Yugoslavia, <=50K
33, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Wife, Other, Female,0,0,40, China, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, France, <=50K
31, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,54, Guatemala, >50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,60, Poland, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Philippines, >50K
24, Private, Some-college, Never-married, Priv-house-serv, Own-child, Black, Male,0,0,35, Puerto-Rico, <=50K
27, Private, Assoc-acdm, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,0,80, England, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
29, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Philippines, <=50K
35, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,40, Laos, <=50K
35, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
35, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Female,0,0,50, Columbia, <=50K
64, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Holand-Netherlands, <=50K
50, Private, 12th, Divorced, Craft-repair, Husband, Other, Male,0,0,40, Peru, <=50K
47, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Columbia, >50K
50, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,40, Mexico, >50K
59, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, Peru, >50K
66, Private, Doctorate, Widowed, Prof-specialty, Not-in-family, White, Female,20346,0,40, El-Salvador, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Nicaragua, <=50K
19, Private, Some-college, Married-spouse-absent, Other-service, Own-child, White, Female,0,0,25, Hungary, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,54, Cuba, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,48, Haiti, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, Portugal, >50K
48, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,36, Jamaica, <=50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,45, Mexico, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Own-child, Other, Male,0,0,28, Laos, <=50K
39, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,1883,50, El-Salvador, >50K
22, Private, HS-grad, Never-married, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
41, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,72, Guatemala, <=50K
50, Local-gov, Some-college, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, El-Salvador, >50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,48, Greece, >50K
55, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,40, Haiti, <=50K
51, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
68, Self-emp-not-inc, 7th-8th, Widowed, Transport-moving, Not-in-family, White, Male,0,0,23, Columbia, <=50K
43, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, Japan, <=50K
23, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
47, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, Japan, <=50K
45, Self-emp-not-inc, Doctorate, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,50, El-Salvador, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, Other, Female,0,0,41, Japan, >50K
32, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
36, Private, Some-college, Divorced, Other-service, Not-in-family, Other, Male,0,0,35, Trinadad&Tobago, <=50K
28, Private, Bachelors, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,50, Haiti, >50K
26, Private, Some-college, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
42, Private, HS-grad, Married-civ-spouse, Tech-support, Unmarried, Black, Male,0,0,40, Taiwan, <=50K
34, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, Black, Male,0,0,45, Scotland, <=50K
67, Private, Bachelors, Widowed, Exec-managerial, Husband, Black, Male,0,0,70, Yugoslavia, <=50K
25, Private, Assoc-voc, Never-married, Sales, Own-child, White, Male,0,0,40, Puerto-Rico, >50K
32, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Mexico, <=50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
28, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Amer-Indian-Eskimo, Male,8597,0,35, France, <=50K
73, Local-gov, Some-college, Divorced, Adm-clerical, Husband, White, Male,2142,0,11, Peru, >50K
71, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Germany, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, Mexico, <=50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Cambodia, <=50K
43, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, El-Salvador, <=50K
43, Self-emp-inc, Prof-school, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,54, Jamaica, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Wife, Black, Female,0,1602,40, Japan, >50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,40, Haiti, >50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, China, >50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Greece, <=50K
18, Private, Bachelors, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, Philippines, <=50K
36, Private, Some-college, Never-married, Other-service, Husband, White, Female,0,0,40, Guatemala, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,52, Cambodia, <=50K
34, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
38, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Cambodia, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,35, South, >50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
43, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, South, <=50K
35, Private, Preschool, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,31, Puerto-Rico, <=50K
54, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,10, Yugoslavia, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, China, <=50K
29, Private, Some-college, Never-married, Handlers-cleaners, Husband, Black, Female,0,0,50, El-Salvador, >50K
36, Private, Bachelors, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, >50K
51, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,0,0,50, Thailand, >50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,25, Scotland, >50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,12786,0,50, Hong, <=50K
23, Private, Preschool, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,50, Columbia, >50K
34, Private, Bachelors, Never-married, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Germany, <=50K
29, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,35, Trinadad&Tobago, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,50, Canada, >50K
57, Self-emp-not-inc, Doctorate, Divorced, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, Greece, <=50K
62, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,3463,0,50, France, >50K
37, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,20, England, <=50K
48, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, White, Female,0,0,40, England, <=50K
25, Self-emp-not-inc, Some-college, Separated, Prof-specialty, Not-in-family, White, Male,0,0,45, Guatemala, <=50K
31, State-gov, HS-grad, Widowed, Other-service, Wife, Black, Male,0,0,40, Italy, >50K
42, Private, HS-grad, Divorced, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
51, Local-gov, HS-grad, Separated, Prof-specialty, Husband, Other, Male,0,1990,40, Hungary, <=50K
78, Private, Assoc-acdm, Divorced, Prof-specialty, Husband, White, Male,0,1671,8, Thailand, >50K
57, Self-emp-not-inc, Masters, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,1902,60, Portugal, >50K
32, Private, HS-grad, Widowed, Transport-moving, Wife, White, Male,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
36, Private, Bachelors, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Hong, <=50K
41, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Columbia, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,60, Japan, >50K
48, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,2398,40, Germany, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,25, Jamaica, <=50K
64, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,25, France, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,42, Peru, <=50K
50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Female,4386,0,40, United-States, >50K
40, Private, HS-grad, Separated, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,30, Dominican-Republic, <=50K
30, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Scotland, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, India, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
29, Self-emp-not-inc, 10th, Never-married, Exec-managerial, Husband, Other, Male,0,0,45, India, <=50K
